school_year	on_year_glance_calendar	on_faculty_calendar	on_weekly_bulletin	type	cycle	start_date	end_date	start_time	end_time	google_title	title	location	iolani_team	is_home_game	iolani_opponent	trainers	non_iolani_team_a	non_iolani_team_b	notes	lunch_type_a	lunch_type_b
2013-2014	FALSE	TRUE	TRUE	Cycle	1	8/26/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	8/26/2013	 		 	Special Convocation Schedule	Special Convocation Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	8/27/2013	 		 	"Extended 1 Schedule (1,3,5,7)"	"Extended 1 Schedule (1,3,5,7)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	8/28/2013	 		 	"Extended 1 Schedule (2,4,6,8)"	"Extended 1 Schedule (2,4,6,8)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	8/29/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	8/30/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	9/3/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/3/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/4/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/5/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/6/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	9/9/2013	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/9/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/10/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/11/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/12/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
